Item No,Price A,Price Hot
0ELLF1804N50,450.00,350
0ELLF1804N50,450.00,350
100HMX50,78.00,72
10CPUAGULED27,7.42,6.63
10CPUAGULED30,7.42,6.63
10CPUALED27,7.42,6.63
10CPUALED30,7.42,6.63
10G25DLED927/JA8,3.45,3.2
10LELK5.5B930,9.62,8.88
10LELK5.5B930F,9.62,8.88
10P30NDV30FL,2.20,2
10P30NDV50FL,2.20,2
10PUBDLED927/JA8,7.16,6.63
10PUBGUDLED927/JA8,7.16,6.63
10PUBGUDLED930/JA8,7.16,6.63
10PUBGULED27,4.19,3.92
10PUBGULED30,4.19,3.92
10PUBLED27,4.19,3.92
10PUBLED30,4.19,3.92
11BR30DLED27/G3,3.00,2.7
11BR30DLED30/G3,3.00,2.7
11BR30DLED40/G3,3.00,2.7
11BR30DLED927/G4,3.50,3.2
11BR30DLED930/G4,3.50,3.2
11P30D27FL,3.35,3.05
11P30D27NF,3.35,3.05
11P30D30FL,3.35,3.05
11P30D30NF,3.35,3.05
11P30D40FL,3.35,3.05
11P30D40NF,3.35,3.05
11P30D50FL,3.35,3.05
11P30WLND27FL,3.35,3.05
11P30WLND27NF,3.35,3.05
11P30WLND30FL,3.35,3.05
11P30WLND30NF,3.35,3.05
11P30WLND40FL,3.35,3.05
11P30WLND40NF,3.35,3.05
120PT40,108.00,99
120PT50,108.00,99
12BR40DLED27/G3,4.00,3.65
12BR40DLED30/G3,4.00,3.65
12BR40DLED40/G3,4.00,3.65
12P30LNDLED927FL/JA8,5.25,4.95
12P30LNDLED930FL/JA8,5.25,4.95
12PLG24QHLED27,7.40,6.65
12PLG24QHLED30,7.40,6.65
12PLG24QHLED35,7.40,6.65
12PLG24QHLED40,7.40,6.65
12PLG24QVLED27,7.40,6.65
12PLG24QVLED30,7.40,6.65
12PLG24QVLED35,7.40,6.65
12PLG24QVLED40,7.40,6.65
13BR40DV27,3.50,3
13BR40DV30,3.50,3
13BR40DV50,3.50,3
13P30LNLED230FL,9.55,8.5
13P30LNLED240FL,9.55,8.5
13P38NDV30FL,3.50,3.25
13P38NDV50FL,3.50,3.25
13P38WD27FL,5.85,5.3
13P38WD27FLB/2P/WS,9.55,8.75
13P38WD30FL,5.85,5.3
13P38WD30NF,5.85,5.3
13P38WD40FL,5.85,5.3
13P38WD40NF,5.85,5.3
13P38WD50FLB/2P/WS,9.55,8.75
14A19/3W27,5.85,5.6
14A19/3W27/2P/WS,11.15,10.6
14A19/3W30,5.85,5.6
14A19/3W50,5.85,5.6
14A19/3W50/2P/WS,11.15,10.6
15A21/3WLED927,7.25,6.85
15P38DLED927FL/JA8,6.90,6.35
15P38DLED930FL/JA8,6.90,6.35
15P38WD27FL,6.20,5.8
15P38WD30FL,6.20,5.8
15P38WD40FL,6.20,5.8
17A21D27,4.20,4
17A21D30,4.20,4
17A21D40,4.20,4
17A21D50,4.20,4
17A21ND27,4.20,4
17A21ND30,4.20,4
17A21ND40,4.20,4
17A21ND50,4.20,4
17BR40DLED27/G3,5.45,5.05
17BR40DLED30/G3,5.45,5.05
17BR40DLED40/G3,5.45,5.05
17P38LED230FL,16.30,14.85
17P38LED240FL,16.30,14.85
18LELK11.5B930,13.50,12.5
18LELK11.5B930F,13.52,12.48
2.5G4LED27,5.30,4.8
2.5WDGLED27,5.30,4.8
21A21D27,7.40,7.15
21A21D30,7.40,7.15
21A21D40,7.40,7.15
21A21D50,7.40,7.15
21A21ND27,7.40,7.15
21A21ND30,7.40,7.15
21A21ND40,7.40,7.15
21A21ND50,7.40,7.15
26A23D27,9.55,9
26A23D30,9.55,9
26A23D40,9.55,9
26A23D50,9.55,9
26A23ND27,9.55,9
26A23ND30,9.55,9
26A23ND40,9.55,9
26A23ND50,9.55,9
36PT40,35.00,33
36PT50,35.00,33
3G9DLED27,4.20,3.8
3G9LED27,4.20,3.8
4.5MR16GUD27FL,2.45,2.25
4.5MR16GUD30FL,2.45,2.25
40HMX50,37.00,34
54PT40,40.00,37
54PT50,40.00,37
5G16.5DLED27/G2,2.25,2
5G9DLED27,6.00,5.5
5G9LED27,6.00,5.5
6.5MR16GUD927FL/JA8,3.20,2.9
6.5MR16GUD930FL/JA8,3.20,2.9
60HMX50,42.00,39
6PLE26LED27,6.50,6
6PLE26LED30,6.50,6
6PLG24QLED27,6.50,6
6PLG24QLED30,6.50,6
6PLG24QLED35,6.50,6
6PLG24QLED40,6.50,6
6PLG24QLED50,6.50,6
6PLGU24LED27,6.50,6
6PLGU24LED30,6.50,6
6PLGU24LED40,6.50,6
6PLGX23LED27,6.50,6
6PLGX23LED35,6.50,6
6PLGX23LED40,6.50,6
6PLGX23LED50,6.50,6
6R20DV27,1.50,1.35
6R20DV50,1.50,1.35
7BR20DLED27/G3,2.00,1.8
7BR20DLED30/G3,2.00,1.8
7BR20DLED40/G3,2.00,1.8
7MR16GUD27FL,2.45,2.25
7MR16GUD30FL,2.45,2.25
7P20NDV30FL,1.85,1.6
7P20NDV50FL,1.85,1.6
7P20WD27FL,2.65,2.45
7P20WD27NF,2.65,2.45
7P20WD30FL,2.65,2.45
7P20WD30NF,2.65,2.45
7P20WD40FL,2.65,2.45
7P20WD40NF,2.65,2.45
80HMX50,68.00,63
8BR30D27/4P/WS,10.60,9.55
8BR30D50/4P/WS,10.60,9.55
8BR30DLED27/G3,2.75,2.45
8BR30DLED30/G3,2.90,2.6
8BR30DLED40/G3,2.90,2.6
8BR30DLED50/G3,2.90,2.6
8BR30DV27,1.85,1.75
8BR30DV30,1.85,1.75
8BR30DV50,1.85,1.75
8PLE26LED27,7.10,6.5
8PLE26LED30,7.10,6.5
8PLG24QLED27,7.10,6.5
8PLG24QLED30,7.10,6.5
8PLG24QLED35,7.10,6.5
8PLG24QLED40,7.10,6.5
8PLG24QLED50,7.10,6.5
8PLGU24LED27,7.10,6.5
8PLGU24LED30,7.10,6.5
8PLGU24LED40,7.10,6.5
8PLGX23LED27,7.10,6.5
8PLGX23LED35,7.10,6.5
8PLGX23LED40,7.10,6.5
8PLGX23LED50,7.10,6.5
9BR30SDLED30,6.35,5.85
AR-XAL450HT3-50B,845.00,686
AR-XAL450HT3-50BRPC,875.00,716
AR-XAL450HT4-50B,845.00,686
AR-XAL450HT5-50B,845.00,686
AR-XAL450UT3-50B,795.00,636
AR-XAL450UT3-50BRPC,825.00,666
AR-XAL450UT4-50B,795.00,636
AR-XAL450UT5-50B,795.00,636
AR-XAL450UT5-50BRPC,825.00,666
AR100HT2-50BA,275.00,250
AR100HT3-50BA,275.00,250
AR100HT3-50BK,275.00,250
AR100HT4-40BA,275.00,250
AR100HT4-50BA,275.00,250
AR100HT5-40BT,275.00,250
AR100HT5-50BA,275.00,250
AR100HT5-50BK,275.00,250
AR100HT5-50BT,275.00,250
AR100HT5-50WA,320.00,295
AR100LED50,151.00,139
AR100UT2-50BA,225.00,200
AR100UT3-40BARPC,255.00,230
AR100UT3-40BK,225.00,200
AR100UT3-40BKRPC,255.00,230
AR100UT3-50B,210.00,185
AR100UT3-50BA,225.00,200
AR100UT3-50BAMS,280.00,255
AR100UT3-50BARPC,255.00,230
AR100UT3-50BK,225.00,200
AR100UT3-50BKMS,280.00,255
AR100UT3-50BKRPC,255.00,230
AR100UT4-40BK,225.00,200
AR100UT4-50BA,225.00,200
AR100UT4-50BAMS,280.00,255
AR100UT4-50BARPC,255.00,230
AR100UT4-50BKRPC,255.00,230
AR100UT4-50BT,225.00,200
AR100UT5-40BA,225.00,200
AR100UT5-40BT,225.00,200
AR100UT5-50BA,225.00,200
AR100UT5-50BKRPC,255.00,230
AR140HT3-40BA,360.00,330
AR140HT3-50BK,360.00,330
AR140HT4-40BKMS,415.00,385
AR140HT4-50BARPC,390.00,360
AR140HT5-50BTMS,415.00,385
AR140HT5-50BTRPC,390.00,360
AR140UT3-40BA,310.00,280
AR140UT3-40BAMS,365.00,335
AR140UT3-40BKMS,365.00,335
AR140UT3-40BKRPC,340.00,310
AR140UT3-40BT,310.00,280
AR140UT3-40BTRPC,340.00,310
AR140UT3-50BA,310.00,280
AR140UT3-50BARPC,340.00,310
AR140UT3-50BK,310.00,280
AR140UT3-50BT,310.00,280
AR140UT3-50BTMS,365.00,335
AR140UT3-50BTRPC,340.00,310
AR140UT4-40BKMS,365.00,335
AR140UT4-50BA,310.00,280
AR140UT4-50BARPC,340.00,310
AR140UT4-50BK,310.00,280
AR140UT4-50BKMS,365.00,335
AR140UT4-50BKRPC,340.00,310
AR140UT5-50BA,310.00,280
AR140UT5-50BK,310.00,280
AR140UT5-50BKMS,365.00,335
AR140UT5-50BKRPC,340.00,310
AR140UT5-50BTRPC,340.00,310
AR210HT3-40BA,430.00,410
AR210HT3-50BA,430.00,410
AR210HT3-50BARPC,460.00,440
AR210HT4-40BA,430.00,410
AR210HT4-40BK,430.00,410
AR210HT5-50BA,430.00,410
AR210UT3-40BARPC,410.00,390
AR210UT3-40BK,380.00,360
AR210UT3-50BA,380.00,360
AR210UT3-50BARPC,410.00,390
AR210UT3-50BK,380.00,360
AR210UT3-50BT,380.00,360
AR210UT3-50BTRPC,410.00,390
AR210UT4-40BA,380.00,360
AR210UT4-50BA,380.00,360
AR210UT4-50BKRPC,410.00,390
AR210UT5-40BT,380.00,360
AR210UT5-50BA,380.00,360
AR210UT5-50BK,380.00,360
AR210UT5-50BTRPC,410.00,390
AR280HT3-50BA,525.00,500
AR280HT5-40BA,525.00,500
AR280HT5-40BAPR7,555.00,530
AR280HT5-50BA,525.00,500
AR280HT5-50BTRPC,555.00,530
AR280UT2-40BA,475.00,450
AR280UT3-40BA,475.00,450
AR280UT3-50BA,475.00,450
AR280UT3-50BARPC,505.00,480
AR280UT3-50BK,475.00,450
AR280UT3-50BKRPC,505.00,480
AR280UT3-50BT,475.00,450
AR280UT3-50BTMS,530.00,505
AR280UT4-40BA,475.00,450
AR280UT4-40BK,475.00,450
AR280UT4-50BA,475.00,450
AR280UT4-50BKRPC,505.00,480
AR280UT5-40BK,475.00,450
AR280UT5-50BA,475.00,450
AR280UT5-50BK,475.00,450
AR280UT5-50BKRPC,505.00,480
AR280UT5-50BT,475.00,450
AR280UT5-50BTRPC,505.00,480
AR40LED50,75.00,69
AR60HT3-40BA,230.00,210
AR60HT3-40BK,230.00,210
AR60HT4-50BA,230.00,210
AR60UT2-40BA,180.00,160
AR60UT2-50BK,180.00,160
AR60UT3-40BA,180.00,160
AR60UT3-40BAMS,235.00,215
AR60UT3-40BARPC,210.00,190
AR60UT3-40BT,180.00,160
AR60UT3-50B,165.00,145
AR60UT3-50BA,180.00,160
AR60UT3-50BARPC,210.00,190
AR60UT3-50BKRPC,210.00,190
AR60UT3-50BT,180.00,160
AR60UT4-40BA,180.00,160
AR60UT4-50BK,180.00,160
AR60UT5-40BA,180.00,160
AR60UT5-40BAMS,235.00,215
AR60UT5-50BA,180.00,160
AR60UT5-50BK,180.00,160
AR60UT5-50BKRPC,210.00,190
AR60UT5-50BTMS,235.00,215
BF12AUDT30B,26.75,25.75
BF12AUDT50B,26.75,25.75
BF12AUDW30B,26.75,25.75
BF12AUDW50B,26.75,25.75
BF30AUDT30B,82.50,79.75
BF30AUDT50B,82.50,79.75
BF30AUDW30B,82.50,79.75
BF30AUDW50B,82.50,79.75
BL-CLRD17U-40B,249.00,0
BLHE2-090DUF-40MS,117.00,110
BLHE2-090DUF-50,75.00,68
BLHE2-090DUF-50MS,117.00,110
BLHE2-090DUF-50MS-C,127.00,120
BLHE2-135DUF-40MS,134.00,126
BLHE2-135DUF-50,92.00,84
BLHE2-135DUF-50MS,134.00,126
BLHE2-135DUF-50MS-C,144.00,136
BLHE2-178DUF-40,113.00,102
BLHE2-178DUF-40MS,155.00,144
BLHE2-178DUF-50,113.00,102
BLHE2-178DUF-50MS,155.00,144
BLHE2-178DUF-50MS-C2,170.00,159
BLHE2-223DUF-50,131.00,117
BLHE2-265DUF-40,164.00,145
BLHE2-265DUF-40MS,206.00,187
BLHE2-265DUF-50,164.00,145
BLHE2-265DUF-50MS,206.00,187
BLHE2-321DUF-40,184.00,168
BLHE2-321DUF-40MS,229.00,210
BLHE2-321DUF-50,184.00,168
BLHE2-321DUF-50MS,229.00,210
BLHT4XT8USE4810,42.00,38
BLHT4XT8USE4810C,52.00,48
BLHT4XT8USE4810C12,58.00,53
BLHT6XT8USE4815,52.00,48
BLHT6XT8USE4815C12,63.00,59
BLHT6XT8USE4815C27,74.00,69
BLHT8XT8USE4820,63.00,59
BP35AUT550BPM0,91.00,80
BP45AUT550BPM0,96.00,85
CPL20AUC40B,63.00,61
CPL20AUC40BMS,103.00,101
CPL20AUC40BPC,78.00,76
CPL20AUC50BMS,103.00,101
CPL20AUC50BPC,78.00,76
CPL20AUP40B,63.00,61
CPL20AUP40BMS,103.00,101
CPL20AUP40BPC,78.00,76
CPL20AUP50B,63.00,61
CPL20AUP50BMS,103.00,101
CPL20AUP50BPC,78.00,76
CPL30AUC40B,73.00,70.5
CPL30AUC40BMS,113.00,110.5
CPL30AUC40BPC,88.00,85.5
CPL30AUC50B,73.00,70.5
CPL30AUC50BMS,113.00,110.5
CPL30AUC50BPC,88.00,85.5
CPL30AUP40B,73.00,70.5
CPL30AUP40BMS,113.00,110.5
CPL30AUP50B,73.00,70.5
CPL30AUP50BMS,113.00,110.5
CPL40AUC40B,82.00,79.5
CPL40AUC40BMS,122.00,119.5
CPL40AUC50B,82.00,79.5
CPL40AUC50BPC,97.00,94.5
CPL40AUP40BMS,122.00,119.5
CPL40AUP40BPC,97.00,94.5
CPL40AUP40W,82.00,79.5
CPL40AUP50B,82.00,79.5
CPL40AUP50BPC,97.00,94.5
CPL58AUC40B,103.00,91
CPL58AUC40BMS,143.00,131
CPL58AUC50B,103.00,91
CPL58AUC50BMS,143.00,131
CPL58AUC50BPC,118.00,106
CPL58AUP40BMS,143.00,131
CPL58AUP40BPC,118.00,106
CPL58AUP50B,103.00,91
CPL58AUP50BMS,143.00,131
CPL58AUP50BPC,118.00,106
DDR2L13,9.98,9.25
DDR2L18,11.85,10.95
DDR4L13,14.15,13.05
DDR4L18,16.65,15.35
DL409827WH,8.50,7.5
DL409830WH,8.50,7.5
DL409840WH,8.50,7.5
DL615827WH,9.75,8.5
DL615830WH,9.75,8.5
DL615840WH,9.75,8.5
DR100W/12V,49.00,46
DR150W/12V,65.00,60
DR60W/12V,30.00,28
DTD9A19ND27,2.30,2.1
E11A19ND27/G3,2.20,2.1
E11A19NDV27,2.00,1.85
E11A19NDV30,2.00,1.85
E11A19NDV50,2.00,1.85
E12A19D927/JA8,3.00,2.75
E14A19NDV27,2.25,2
E14A19NDV27/4P,8.90,7.9
E14A19NDV30,2.25,2
E14A19NDV30/4P,8.90,7.9
E14A19NDV30RS,2.25,2
E14A19NDV50,2.25,2
E14A19NDV50/4P,8.90,7.9
E15A19ND27/G3,2.80,2.65
E15A19ND30/G3,2.80,2.65
E6A19NDV27,1.05,1
E6A19NDV30,1.05,1
E6A19NDV50,1.05,1
E9A19GUD927/JA8,2.40,2.1
E9A19ND27/G3,1.45,1.35
E9A19ND30/G3,1.45,1.35
E9A19NDV27,1.05,1
E9A19NDV27/4P,4.25,4.05
E9A19NDV30,1.05,1
E9A19NDV30/4P,4.25,4.05
E9A19NDV30RS,1.05,1
E9A19NDV50,1.05,1
E9A19NDV50/4P,4.25,4.05
ELLF1354M50,583.00,530
ELLF1354M50,583.00,530
ELLF1354M50E,668.00,615
ELLF1354M50E,668.00,615
ELLF1354M50H,583.00,530
ELLF1354M50H,583.00,530
ELLF1354M50HB,583.00,530
ELLF1354M50HB,583.00,530
ELLF1354N50,0.00,400
ELLF1354N50,0.00,400
ELLF1354W50,0.00,400
ELLF1354W50,0.00,400
ELLF1354W50H,0.00,400
ELLF1354W50H,0.00,400
ELLF135DM40,536.00,483
ELLF135DM50,536.00,483
ELLF135DM50,536.00,483
ELLF135DN50,536.00,483
ELLF135DN50,536.00,483
ELLF135DW40,536.00,483
ELLF135DW50,536.00,483
ELLF135DW50,536.00,483
ELLF135UM27,536.00,483
ELLF135UM50,536.00,483
ELLF135UM50,536.00,483
ELLF135UM50AGSH12,850.00,0
ELLF135UM50APS,0.00,0
ELLF135UM50APS,0.00,0
ELLF135UM50E,621.00,568
ELLF135UM50E,621.00,568
ELLF135UM50EG,655.00,617
ELLF135UM50EG,655.00,617
ELLF135UM50H,536.00,483
ELLF135UM50H,536.00,483
ELLF135UN27,536.00,483
ELLF135UN50,536.00,483
ELLF135UN50,536.00,483
ELLF135UN50AGSH12,850.00,0
ELLF135UN50H,536.00,483
ELLF135UN50H,536.00,483
ELLF135UW27,536.00,483
ELLF135UW50,536.00,483
ELLF135UW50,536.00,483
ELLF135UW50AGSH12,850.00,0
ELLF135UW50E,621.00,568
ELLF135UW50E,621.00,568
ELLF135UW50H,536.00,483
ELLF135UW50H,536.00,483
ELLF135UW50HE,621.00,568
ELLF135UW50HE,621.00,568
ELLF135UW50HGSH12,850.00,0
ELLF1804M50,607.95,552.64
ELLF1804M50,607.95,552.64
ELLF1804M50H,607.95,552.64
ELLF1804M50H,607.95,552.64
ELLF1804M50HL,607.95,552.64
ELLF1804M50HL,607.95,552.64
ELLF1804N50AGSH12,850.00,0
ELLF1804N50H,607.95,552.64
ELLF1804N50H,607.95,552.64
ELLF1804W50,607.95,552.64
ELLF1804W50,607.95,552.64
ELLF1804W50AGSH12,850.00,0
ELLF1804W50E,679.35,623.04
ELLF1804W50E,679.35,623.04
ELLF1804W50HE,679.35,623.04
ELLF1804W50HE,679.35,623.04
ELLF180DM27,562.80,508.64
ELLF180DM50,562.80,508.64
ELLF180DM50,562.80,508.64
ELLF180DM50E,634.20,579.04
ELLF180DM50E,634.20,579.04
ELLF180DM50H,562.80,508.64
ELLF180DM50H,562.80,508.64
ELLF180DM50HE,634.20,579.04
ELLF180DM50HE,634.20,579.04
ELLF180DN50,562.80,508.64
ELLF180DN50,562.80,508.64
ELLF180DN50E,634.20,579.04
ELLF180DN50E,634.20,579.04
ELLF180DN50H,562.80,508.64
ELLF180DN50H,562.80,508.64
ELLF180DW50,562.80,508.64
ELLF180DW50,562.80,508.64
ELLF180DW50E,634.20,579.04
ELLF180DW50E,634.20,579.04
ELLF180DW50H,562.80,508.64
ELLF180DW50H,562.80,508.64
ELLF180DW50HE,634.20,579.04
ELLF180DW50HE,634.20,579.04
ELLF180UM50,631.00,578
ELLF180UM50,631.00,578
ELLF180UM50H,631.00,578
ELLF180UM50H,631.00,578
ELLF180UN50,631.00,578
ELLF180UN50,631.00,578
ELLF180UW50,631.00,578
ELLF180UW50,631.00,578
ELLF180UW50H,631.00,578
ELLF180UW50H,631.00,578
ELLF2704C50H,1007.00,954
ELLF2704C50H,1007.00,954
ELLF2704M50,1007.00,954
ELLF2704M50,1007.00,954
ELLF2704M50B,0.00,750
ELLF2704M50B,0.00,750
ELLF2704M50E,1092.00,1039
ELLF2704M50E,1092.00,1039
ELLF2704M50H,1007.00,954
ELLF2704M50H,1007.00,954
ELLF2704N50,1007.00,954
ELLF2704N50,1007.00,954
ELLF2704N50H,1007.00,954
ELLF2704N50H,1007.00,954
ELLF2704W50,1007.00,954
ELLF2704W50,1007.00,954
ELLF2704W50H,0.00,825
ELLF2704W50H,0.00,825
ELLF270DM40,0.00,500
ELLF270DN27,960.00,907
ELLF270DW27,960.00,907
ELLF270DW40,960.00,907
ELLF270UC50E,1045.00,992
ELLF270UC50E,1045.00,992
ELLF270UC50H,960.00,907
ELLF270UC50H,960.00,907
ELLF270UC50HB,960.00,907
ELLF270UC50HB,960.00,907
ELLF270UM50,960.00,907
ELLF270UM50,960.00,907
ELLF270UM50AGSH12,1000.00,0
ELLF270UM50E,1045.00,992
ELLF270UM50E,1045.00,992
ELLF270UM50H,960.00,907
ELLF270UM50H,960.00,907
ELLF270UM50HE,1045.00,992
ELLF270UM50HE,1045.00,992
ELLF270UM50HF,1161.00,1050
ELLF270UM50HF,1161.00,1050
ELLF270UN50,960.00,907
ELLF270UN50,960.00,907
ELLF270UN50AGSH12,1000.00,0
ELLF270UN50H,960.00,907
ELLF270UN50H,960.00,907
ELLF270UN50HE,1045.00,992
ELLF270UN50HE,1045.00,992
ELLF270UN50HGSH12,1000.00,0
ELLF270UW50,960.00,907
ELLF270UW50,960.00,907
ELLF270UW50AGSH12,1000.00,0
ELLF270UW50E,1045.00,992
ELLF270UW50E,1045.00,992
ELLF270UW50H,0.00,750
ELLF270UW50H,0.00,750
ELLF270UW50HB,960.00,907
ELLF270UW50HB,960.00,907
ELLF270UW50HGSH12,1000.00,0
ELLF270UWN50AGSH12,1000.00,0
ELLF3604M50,985.95,925.76
ELLF3604M50,985.95,925.76
ELLF3604M50H,985.95,925.76
ELLF3604M50H,985.95,925.76
ELLF3604N50,985.95,925.76
ELLF3604N50,985.95,925.76
ELLF3604N50HE,1057.35,996.16
ELLF3604N50HE,1057.35,996.16
ELLF3604W40,985.95,925.76
ELLF3604W50,985.95,925.76
ELLF3604W50,985.95,925.76
ELLF3604W50AGSH12,1000.00,0
ELLF3604W50H,985.95,925.76
ELLF3604W50H,985.95,925.76
ELLF3604W50HE,1057.35,996.16
ELLF3604W50HE,1057.35,996.16
ELLF360DC50,1055.00,1002
ELLF360DC50,1055.00,1002
ELLF360DC50H,1055.00,1002
ELLF360DC50H,1055.00,1002
ELLF360DM50,941.85,881.76
ELLF360DM50,941.85,881.76
ELLF360DM50E,1013.25,952.16
ELLF360DM50E,1013.25,952.16
ELLF360DM50H,941.85,881.76
ELLF360DM50H,941.85,881.76
ELLF360DM50HE,1013.25,952.16
ELLF360DM50HE,1013.25,952.16
ELLF360DN50,941.85,881.76
ELLF360DN50,941.85,881.76
ELLF360DN50H,941.85,881.76
ELLF360DN50H,941.85,881.76
ELLF360DNM50,941.00,0
ELLF360DNM50,941.00,0
ELLF360DW27,1055.00,1002
ELLF360DW50,941.85,881.76
ELLF360DW50,941.85,881.76
ELLF360DW50E,1013.25,952.16
ELLF360DW50E,1013.25,952.16
ELLF360DW50H,941.85,881.76
ELLF360DW50H,941.85,881.76
ELLF360DW50HE,1013.25,952.16
ELLF360DW50HE,1013.25,952.16
ELLF360UDN50H,991.20,930.16
ELLF360UDN50H,991.20,930.16
ELLF360UM50,1055.00,1002
ELLF360UM50,1055.00,1002
ELLF360UN50,1055.00,1002
ELLF360UN50,1055.00,1002
ELLF4054C50,1537.00,1484
ELLF4054C50,1537.00,1484
ELLF4054C50H,1537.00,1484
ELLF4054C50H,1537.00,1484
ELLF4054M50,0.00,1250
ELLF4054M50,0.00,1250
ELLF4054M50H,1537.00,1484
ELLF4054M50H,1537.00,1484
ELLF4054M50HE,1622.00,1569
ELLF4054M50HE,1622.00,1569
ELLF4054N50,1537.00,1484
ELLF4054N50,1537.00,1484
ELLF4054N50H,1537.00,1484
ELLF4054N50H,1537.00,1484
ELLF4054W50,1537.00,1484
ELLF4054W50,1537.00,1484
ELLF4054W50E,1622.00,1569
ELLF4054W50E,1622.00,1569
ELLF4054W50FS,1977.00,1787
ELLF4054W50FS,1977.00,1787
ELLF4054W50H,0.00,1250
ELLF4054W50H,0.00,1250
ELLF4054W50HE,1622.00,1569
ELLF4054W50HE,1622.00,1569
ELLF405DM40,1490.00,1437
ELLF405DN40,1490.00,1437
ELLF405UC27,1490.00,1437
ELLF405UC50,1490.00,1437
ELLF405UC50,1490.00,1437
ELLF405UC50AGSH12,1500.00,0
ELLF405UC50H,1490.00,1437
ELLF405UC50H,1490.00,1437
ELLF405UM50,0.00,1250
ELLF405UM50,0.00,1250
ELLF405UM50AGSH12,1500.00,0
ELLF405UM50E,1575.00,1522
ELLF405UM50E,1575.00,1522
ELLF405UM50H,1490.00,1437
ELLF405UM50H,1490.00,1437
ELLF405UN22,1490.00,1437
ELLF405UN50,1490.00,1437
ELLF405UN50,1490.00,1437
ELLF405UN50AGSH12,1500.00,0
ELLF405UN50H,1490.00,1437
ELLF405UN50H,1490.00,1437
ELLF405UW50,1490.00,1437
ELLF405UW50,1490.00,1437
ELLF405UW50AGSH12,1500.00,0
