productcode,productname,productprice,saleprice,available
HL-AR80UW-50G,"MaxLite Flood Class Division 2 HL-AR Series, 80 Watt",665,562.5,137
HL-AR80UW-50G-D1,"MaxLite Flood Class Division 1 HL-AR-D1 Series, 80 Watt",1263.5,1031.25,#N/A
HL-LB23U-50,"MaxLite Lowbay Class 1 Division 2 HL-LB Series, 23 Watt",432.25,375,#N/A
HL-LI2440H,"MaxLite Linear Class Division 2 HL-LI Series, 2 Foot, High Voltage",529.34,417.5,#N/A
HL-LI2440U,"MaxLite Linear Class Division 2 HL-LI Series, 2 Foot, Low Voltage",529.34,417.5,#N/A
HL-LI4880H,"MaxLite Linear Class Division 2 HL-LI Series, 4 Foot, High Voltage",762.09,583.75,#N/A
HL-LI4880U,"MaxLite Linear Class Division 2 HL-LI Series, 4 Foot, Low Voltage",762.09,583.75,#N/A
HLR110-W50PCG,"MaxLite High Bay Class 1 Division 2 Hazardous Area Light Series, 109 Watt, Pendant Mount",728.84,632.5,#N/A
HLR110-W50XCG,"MaxLite High Bay Class 1 Division 2 Hazardous Area Light Series, 109 Watt, Wall Mount",728.84,632.5,#N/A
HLR140-W50PCG,"MaxLite High Bay Class 1 Division 2 Hazardous Area Light Series, 136 Watt, Pendant Mount",915.04,793.75,#N/A
HLR140-W50XCG,"MaxLite High Bay Class 1 Division 2 Hazardous Area Light Series, 136 Watt, Wall Mount",915.04,793.75,#N/A
HLR170-W50PCG,"MaxLite High Bay Class 1 Division 2 Hazardous Area Light Series, 167 Watt, Pendant Mount",1067.99,926.25,#N/A
HLR170-W50XCG,"MaxLite High Bay Class 1 Division 2 Hazardous Area Light Series, 167 Watt, Wall Mount",1130.5,968.75,#N/A
HLR80-W50PCG,"MaxLite High Bay Class 1 Division 2 Hazardous Area Light Series, 77 Watt, Pendant Mount",798,687.5,#N/A
HLR80-W50XCG,"MaxLite High Bay Class 1 Division 2 Hazardous Area Light Series, 77 Watt, Wall Mount",688.94,597.5,#N/A
HP-090UF-40,"MaxLite LED Pendant UFO High Bays, 90 Watt, Dimmable, 4000K",215.46,186.25,#N/A
HP-090UF-50,"MaxLite LED Pendant UFO High Bays, 90 Watt, Dimmable, 5000K",215.46,186.25,#N/A
HP-130UF-50,"MaxLite LED Pendant UFO High Bays, 130 Watt, Dimmable, 5000K",243.39,210,#N/A
HP-160UF-40,"MaxLite LED Pendant UFO High Bays, 160 Watt, Dimmable, 4000K",269.99,235,#N/A
HP-160UF-50,"MaxLite LED Pendant UFO High Bays, 160 Watt, Dimmable, 5000K",269.99,235,#N/A
HP-185UF-40,"MaxLite LED Pendant UFO High Bays, 185 Watt, Dimmable, 4000K",293.93,255,#N/A
HP-185UF-50,"MaxLite LED Pendant UFO High Bays, 185 Watt, Dimmable, 5000K",293.93,255,#N/A
JJ12A150,"MaxLite Vaporproof Jelly Jar, 12 Watt",47.5,,#N/A
JJC12001,"MaxLite Jelly Jar, 12 Watt, Ceiling Mounted",29.26,25,#N/A
L11.5T8DE435-CG4,"Maxlite T8 Tube, Coated Glass, Double Ended, Ballast Bypass, 4 Foot, 11.5 Watt, 3500K",9.11,8.13,#N/A
L11.5T8DE440-CG4,"Maxlite T8 Tube, Coated Glass, Double Ended, Ballast Bypass, 4 Foot, 11.5 Watt, 4000K",9.11,8.13,#N/A
L11.5T8DE450-CG4,"Maxlite T8 Tube, Coated Glass, Double Ended, Ballast Bypass, 4 Foot, 11.5 Watt, 5000K",9.11,8.13,#N/A
L11T8AB335-CG,"MaxLite LED Linear T8 Hybrid, 12 Watt, 3 Foot, 3500K",9.91,8.63,#N/A
L11T8AB340-CG,"MaxLite LED Linear T8 Hybrid, 12 Watt, 3 Foot, 4000K",9.91,8.63,#N/A
L11T8AB350-CG,"MaxLite LED Linear T8 Hybrid, 12 Watt, 3 Foot, 5000K",9.91,8.63,#N/A
L12T5SE235-CG,"Maxlite T5 Linear Replacement Tube, Bypass, Coated Glass, 2 Foot, 12 Watt, 3500K",10.57,9.19,#N/A
L12T5SE240-CG,"Maxlite T5 Linear Replacement Tube, Bypass, Coated Glass, 2 Foot, 12 Watt, 4000K",10.57,9.19,#N/A
L12T5SE250-CG,"Maxlite T5 Linear Replacement Tube, Bypass, Coated Glass, 2 Foot, 12 Watt, 5000K",10.57,9.19,#N/A
L12T8AB435-CG,"MaxLite LED Linear T8 Hybrid, 13 Watt, 4 Foot, 3500K",9.91,8.63,12907
L12T8AB440-CG,"MaxLite LED Linear T8 Hybrid, 13 Watt, 4 Foot, 4000K",9.91,8.63,27545
L12T8AB450-CG,"MaxLite LED Linear T8 Hybrid, 13 Watt, 4 Foot, 5000K",9.91,8.63,20226
L13T5SE435-CG,"Maxlite T5 Linear Replacement Tube, Bypass, Coated Glass, 4 Foot, 13 Watt, 3500K",11.11,9.69,#N/A
L13T5SE440-CG,"Maxlite T5 Linear Replacement Tube, Bypass, Coated Glass, 4 Foot, 13 Watt, 4000K",11.11,9.69,#N/A
L13T5SE450-CG,"Maxlite T5 Linear Replacement Tube, Bypass, Coated Glass, 4 Foot, 13 Watt, 5000K",11.11,9.69,#N/A
L13T8DF435-CG5,"Maxlite T8 Linear Replacement Tube, Ballast Compatible, Coated Glass, 4 Foot, 13 Watt, 3500K",7.01,6.16,#N/A
L13T8DF450-CG5,"Maxlite T8 Linear Replacement Tube, Ballast Compatible, Coated Glass, 4 Foot, 13 Watt, 5000K",7.01,6.16,#N/A
L13T8EX435,"Maxlite T8 Tube, Frosted Plastic, External Driver, 4 Foot, 13 Watt, G13 Pin, 3500K",8.65,7.81,#N/A
L13T8EX440,"Maxlite T8 Tube, Frosted Plastic, External Driver, 4 Foot, 13 Watt, G13 Pin, 4000K",8.65,7.81,#N/A
L13T8EX450,"Maxlite T8 Tube, Frosted Plastic, External Driver, 4 Foot, 13 Watt, G13 Pin, 5000K",8.65,7.81,#N/A
L14T8DF335-CG4,"Maxlite T8 Tube, Ballast Compatible, Coated Glass, 3 Foot, 14 Watt, 3500K",8.45,7.25,#N/A
L14T8DF340-CG4,"Maxlite T8 Tube, Ballast Compatible, Coated Glass, 3 Foot, 14 Watt, 4000K",8.45,7.25,#N/A
L14T8DF350-CG4,"Maxlite T8 Tube, Ballast Compatible, Coated Glass, 3 Foot, 14 Watt, 5000K",8.45,7.25,#N/A
L14T8DF440-GA,"Maxlite T8 Tube, DirectFit Ballast Compatible, 4 Foot, 14 Watt, 4000K",6.3,,#N/A
L14T8DF450-GA,"Maxlite T8 Tube, DirectFit Ballast Compatible, 4 Foot, 14 Watt, 5000K",6.3,,370
L16.5T8SE440-CG,"Maxlite T8 Tube, Coated Glass, Internal Driver, 4 Foot, 16.5 Watt, 4000K",8.11,7.06,#N/A
L16.5T8SE450-CG,"Maxlite T8 Tube, Coated Glass, Internal Driver, 4 Foot, 16.5 Watt, 5000K",8.11,7.06,#N/A
L16T5SE335-CG,"Maxlite T5 Linear Replacement Tube, Bypass, Coated Glass, 3 Foot, 16 Watt, 3500K",11.64,9.94,#N/A
L16T5SE340-CG,"Maxlite T5 Linear Replacement Tube, Bypass, Coated Glass, 3 Foot, 16 Watt, 4000K",11.64,9.94,#N/A
L16T5SE350-CG,"Maxlite T5 Linear Replacement Tube, Bypass, Coated Glass, 3 Foot, 16 Watt, 5000K",11.64,9.94,#N/A
L17T8DF440,"Maxlite T8 Tube, Ballast Compatible, Plastic, 4 Foot, 17 Watt",9.52,8.29,500
L18T8SE415,"MaxLite Horticulture Grow Light LED for T8 Tube fixtures , 18W Photosynthesis Spectrum 450nm (royal blue) and 650nm (deep red)",18.33,16.56,#N/A
L18T8SE435-CG4,"MaxLite Single-End Power T8 Linear Lamps, 18 Watt, G13 Pin Base, 3500K",8.45,7.44,#N/A
L18T8SE440-CG4,"MaxLite Single-End Power T8 Linear Lamps, 18 Watt, G13 Pin Base, 4000K",8.45,7.44,#N/A
L18T8SE450-CG4,"MaxLite Single-End Power T8 Linear Lamps, 18 Watt, G13 Pin Base, 5000K",8.45,7.44,#N/A
L19T8EX435,"Maxlite T8 Tube, External Driver, 4 Foot, 19 Watt (Driver Sold Separately), 3500K",9.31,5.81,#N/A
L19T8EX440,"Maxlite T8 Tube, External Driver, 4 Foot, 19 Watt (Driver Sold Separately), 4000K",9.31,5.81,#N/A
L19T8EX450,"Maxlite T8 Tube, External Driver, 4 Foot, 19 Watt (Driver Sold Separately), 5000K",5.81,,#N/A
L19T8SE540-G,"Maxlite T8 Tube, Glass, 5 Foot, 19 Watt, 4000K",13.5,11.63,#N/A
L25T5DF435-CG5,"Maxlite T5 Tube, Ballast Compatible, Coated Glass, 4 Foot, 25 Watt, 3500K",11.04,9.63,#N/A
L25T5DF440-CG5,"Maxlite T5 Tube, Ballast Compatible, Coated Glass, 4 Foot, 25 Watt, 4000K",11.04,9.63,#N/A
L25T5DF450-CG5,"Maxlite T5 Tube, Ballast Compatible, Coated Glass, 4 Foot, 25 Watt, 5000K",11.04,9.63,#N/A
L25T5SE435-CG,"Maxlite T5 Linear Replacement Tube, Bypass, Coated Glass, 4 Foot, 25 Watt, 3500K",12.64,10.94,#N/A
L25T5SE440-CG,"Maxlite T5 Linear Replacement Tube, Bypass, Coated Glass, 4 Foot, 25 Watt, 4000K",12.64,10.94,#N/A
L25T5SE450-CG,"Maxlite T5 Linear Replacement Tube, Bypass, Coated Glass, 4 Foot, 25 Watt, 5000K",12.64,10.94,#N/A
L27T5DF450-CG,"Maxlite T5 Tube, Coated Glass, Ballast Compatible, 4 Foot, 27 Watt (LIMITED STOCK)",7,,#N/A
L30T8SE640-G,"Maxlite T8 Tube, Internal Driver, Glass, 6 Foot, 30 Watt, **Special Order**",14.96,12.81,#N/A
L9T8AB235-CG,"MaxLite LED Linear T8 Hybrid, 10 Watt, 2 Foot, 3500K",9.51,8.25,#N/A
L9T8AB240-CG,"MaxLite LED Linear T8 Hybrid, 10 Watt, 2 Foot, 4000K",9.51,8.25,#N/A
L9T8AB250-CG,"MaxLite LED Linear T8 Hybrid, 10 Watt, 2 Foot, 5000K",9.51,8.25,#N/A
L9T8DF240-CG4,"Maxlite T8 Tube, Ballast Compatible, Coated Glass, 2 Foot, 9 Watt, 4000K",7.91,6.94,#N/A
L9T8DF250-CG4,"Maxlite T8 Tube, Ballast Compatible, Coated Glass, 2 Foot, 9 Watt, 5000K",7.91,6.94,#N/A
L9T8SE235-G,"Maxlite T8 Tube, Internal Driver, Glass, 2 Foot, 9 Watt, 3500K",7.32,6.25,#N/A
L9T8SE240-G,"Maxlite T8 Tube, Internal Driver, Glass, 2 Foot, 9 Watt, 4000K",7.32,6.25,#N/A
L9T8SE250-G,"Maxlite T8 Tube, Internal Driver, Glass, 2 Foot, 9 Watt, 5000K",7.32,6.25,#N/A
LB-PC48,Maxlite 40 Inch Plug Cord for Light Bars,6.65,,#N/A
LB06-0001,"MaxLite Plug-and-Play Light Bar, 6 Inch, 2 Watt, Generation 2 - 2700K ""LB0627""",11.97,9.38,#N/A
LB06-0002,"MaxLite Plug-and-Play Light Bar, 6 Inch, 2 Watt, Generation 2 - 3500K ""LB0635""",11.97,9.38,#N/A
LB06-0003,"MaxLite Plug-and-Play Light Bar, 6 Inch, 2 Watt, Generation 2 - 5000K ""LB0650""",11.97,9.38,#N/A
LB0627,"MaxLite Plug-and-Play Light Bar, 6 Inch, 2 Watt, Generation 2 - 2700K",11.97,9.38,#N/A
LB0627-0001,"MaxLite Plug-and-Play Light Bar, 6 Inch, 2 Watt, Generation 2, 2700K - 2700K",11.97,9.38,#N/A
LB0627-0002,"MaxLite Plug-and-Play Light Bar, 6 Inch, 2 Watt, Generation 2 - 2700K - *2700K",11.97,9.38,#N/A
LB0635,"MaxLite Plug-and-Play Light Bar, 6 Inch, 2 Watt, Generation 2 - 3500K",11.97,9.38,#N/A
LB0635-0001,"MaxLite Plug-and-Play Light Bar, 6 Inch, 2 Watt, Generation 2 - 3500K - *3500K",11.97,9.38,#N/A
LB0650,"MaxLite Plug-and-Play Light Bar, 6 Inch, 2 Watt, Generation 2 - 5000K",11.97,9.38,#N/A
LB0650-0001,"MaxLite Plug-and-Play Light Bar, 6 Inch, 2 Watt, Generation 2 - 5000K - *5000K",11.97,9.38,#N/A
LB12-0001,"MaxLite Plug-and-Play Light Bar, 12 Inch, 4 Watt, Generation 2 - 2700K",15.96,13.44,#N/A
LB12-0002,"MaxLite Plug-and-Play Light Bar, 12 Inch, 4 Watt, Generation 2 - 3500K",15.96,13.44,#N/A
LB12-0003,"MaxLite Plug-and-Play Light Bar, 12 Inch, 4 Watt, Generation 2 - 5000K",15.96,13.44,#N/A
LB1227,"MaxLite Plug-and-Play Light Bar, 12 Inch, 4 Watt, Generation 2, 2700K",15.96,13.44,#N/A
LB1227-0001,"MaxLite Plug-and-Play Light Bar, 12 Inch, 4 Watt, Generation 2, 2700K - *2700K",15.96,13.44,#N/A
LB1235,"MaxLite Plug-and-Play Light Bar, 12 Inch, 4 Watt, Generation 2, 3500K",15.96,13.44,#N/A
LB1235-0001,"MaxLite Plug-and-Play Light Bar, 12 Inch, 4 Watt, Generation 2, 3500K - *3500K",15.96,13.44,#N/A
LB1250,"MaxLite Plug-and-Play Light Bar, 12 Inch, 4 Watt, Generation 2, 5000K",15.96,13.44,#N/A
LB1250-0001,"MaxLite Plug-and-Play Light Bar, 12 Inch, 4 Watt, Generation 2, 5000K - *5000K",15.96,13.44,#N/A
LB24-0001,"MaxLite Plug-and-Play Light Bar, 24 Inch, 8 Watt, Generation 2 - 2700K",31.92,26.88,#N/A
LB24-0002,"MaxLite Plug-and-Play Light Bar, 24 Inch, 8 Watt, Generation 2 - 3500K",31.92,26.88,#N/A
LB24-0003,"MaxLite Plug-and-Play Light Bar, 24 Inch, 8 Watt, Generation 2 - 5000K",31.92,26.88,#N/A
LB2427,"MaxLite Plug-and-Play Light Bar, 24 Inch, 8 Watt, Generation 2, 2700K",31.92,26.88,#N/A
LB2427-0001,"MaxLite Plug-and-Play Light Bar, 24 Inch, 8 Watt, Generation 2, 2700K - *2700K",31.92,26.88,#N/A
LB2435,"MaxLite Plug-and-Play Light Bar, 24 Inch, 8 Watt, Generation 2, 3500K",31.92,26.88,#N/A
LB2450,"MaxLite Plug-and-Play Light Bar, 24 Inch, 8 Watt, Generation 2, 5000K",31.92,26.88,#N/A
LB36-0001,"MaxLite Plug-and-Play Light Bar, 36 Inch, 12 Watt, Generation 2 - 2700K",47.88,40,#N/A
LB36-0002,"MaxLite Plug-and-Play Light Bar, 36 Inch, 12 Watt, Generation 2 - 3500K",47.88,40,#N/A
LB36-0003,"MaxLite Plug-and-Play Light Bar, 36 Inch, 12 Watt, Generation 2 - 5000K",47.88,40,#N/A
LB3627,"MaxLite Plug-and-Play Light Bar, 36 Inch, 12 Watt, Generation 2, 2700K",47.88,40,#N/A
LB3627-0001,"MaxLite Plug-and-Play Light Bar, 36 Inch, 12 Watt, Generation 2, 2700K - *2700K",47.88,40,#N/A
LB3635,"MaxLite Plug-and-Play Light Bar, 36 Inch, 12 Watt, Generation 2, 3500K",47.88,40,#N/A
LB3635-0001,"MaxLite Plug-and-Play Light Bar, 36 Inch, 12 Watt, Generation 2, 3500K - *3500K",47.88,40,#N/A
LB3650,"MaxLite Plug-and-Play Light Bar, 36 Inch, 12 Watt, Generation 2, 5000K",47.88,40,#N/A
LB48-0001,"MaxLite Plug-and-Play Light Bar, 48 Inch, 16 Watt, Generation 2 - 2700K",63.84,53.75,#N/A
LB48-0002,"MaxLite Plug-and-Play Light Bar, 48 Inch, 16 Watt, Generation 2 - 3500K",63.84,53.75,#N/A
LB48-0003,"MaxLite Plug-and-Play Light Bar, 48 Inch, 16 Watt, Generation 2 - 5000K",63.84,53.75,#N/A
LB4827,"MaxLite Plug-and-Play Light Bar, 48 Inch, 16 Watt, Generation 2, 2700K",63.84,53.75,#N/A
LB4827-0001,"MaxLite Plug-and-Play Light Bar, 48 Inch, 16 Watt, Generation 2, 2700K - *2700K",63.84,53.75,#N/A
LB4835,"MaxLite Plug-and-Play Light Bar, 48 Inch, 16 Watt, Generation 2, 3500K",63.84,53.75,#N/A
LB4850,"MaxLite Plug-and-Play Light Bar, 48 Inch, 16 Watt, Generation 2, 5000K",63.84,53.75,#N/A
LF-4836U-40,"MaxLite L-Form Linear Luminaire, 4 Foot, 36 Watt, Dimmable",74.48,66.5,#N/A
LF-4849U-,"MaxLite L-Form Linear Luminaire, 4 Foot, 49 Watt, Dimmable",101.08,90.25,#N/A
LRK22D2335,"MaxLite Lensed Retrofit Kit, 2x2 Foot, 23 Watt, Dimmable, 3500K",55.86,47.5,#N/A
LRK22D2341,"MaxLite Lensed Retrofit Kit, 2x2 Foot, 23 Watt, Dimmable, 4100K",67.83,58.25,#N/A
LRK22D2350,"MaxLite Lensed Retrofit Kit, 2x2 Foot, 23 Watt, Dimmable, 5000K",47.5,,#N/A
LRK24D4035,"MaxLite Lensed Retrofit Kit, 2x4 Foot, 40 Watt, Dimmable, 3500K",101.08,87.5,#N/A
LRK24D4041,"MaxLite Lensed Retrofit Kit, 2x4 Foot, 40 Watt, Dimmable, 4100K",101.08,87.5,#N/A
LRK24D4050,"MaxLite Lensed Retrofit Kit, 2x4 Foot, 40 Watt, Dimmable, 5000K",101.08,87.5,#N/A
LS-4835U-40,"MaxLite Linear Strip, 4 Foot, 35 Watt, Dimmable, 4000K",61.18,53.75,#N/A
LS-4835U-50,"MaxLite Linear Strip, 4 Foot, 35 Watt, Dimmable, 5000K",61.18,53.75,#N/A
LS-4846U-50,"MaxLite Linear Strip, 4 Foot, 46 Watt, Dimmable",74.48,63.75,#N/A
LSS1XT8USE4802,"MaxLite Lamp Ready Linear Utility Strip, 4 Foot, Single Tube",14.8,11.26,#N/A
LSS2XT8USE4803,"MaxLite Lamp Ready Linear Utility Strip, 4 Foot, 2 Tube",16.92,13.25,#N/A
LSU2XT8USE4806,"MaxLite Lamp Ready Linear Utility Strip Wrap, 4 Foot, 2 Tube",31.72,26.18,#N/A
LSU3XT8USE4806,"MaxLite Lamp Ready Linear Utility Strip Wrap, 4 Foot, 3 Tube",31.72,26.18,#N/A
LSU4U2540,"MaxLite Utility Wrap, 4 Foot, 25 Watt, 4000K",75.81,65,#N/A
LSU4U2550,"MaxLite Utility Wrap, 4 Foot, 25 Watt, 5000K",75.81,65,#N/A
LSU4U3540,"MaxLite Utility Wrap, 4 Foot, 35 Watt, 4000K",85.12,73.75,#N/A
LSU4U3550,"MaxLite Utility Wrap, 4 Foot, 35 Watt, 5000K",85.12,73.75,#N/A
LSU4U4540,"MaxLite Utility Wrap, 4 Foot, 45 Watt, 4000K",91.77,80,#N/A
LSU4U4550,"MaxLite Utility Wrap, 4 Foot, 45 Watt, 5000K",91.77,80,#N/A
LSU4XT8USE4812,"MaxLite Lamp Ready Linear Utility Strip Wrap, 4 Foot, 4 Tube",54.53,47.5,#N/A
LSUECO-4NU4050,"MaxLite Utility Wrap, Eco Series Non-Dimming, 4 Foot, 40 Watt",33.75,,#N/A
LSV2U2540,"MaxLite LSV Series Vapor Tight, Linear, 24 Inch, 25 Watt, 4000K",70.49,60,#N/A
LSV2U2550,"MaxLite LSV Series Vapor Tight, Linear, 24 Inch, 25 Watt, 5000K",70.49,60,#N/A
LSV2XT8USE4806,"MaxLite Lamp Ready Vapor Tight, 4 Foot, 2 Lamp Max",41.23,35,#N/A
LSV3XT8USE4806,"MaxLite Lamp Ready Vapor Tight, 4 Foot, 3 Lamp Max",43.89,37.5,#N/A
LSV4U2540,"MaxLite LSV Series Vapor Tight, Linear, 48 Inch, 25 Watt, 4000K",86.45,75,#N/A
LSV4U2550,"MaxLite LSV Series Vapor Tight, Linear, 48 Inch, 25 Watt, 5000K",86.45,75,#N/A
LSV4U3540,"MaxLite LSV Series Vapor Tight, Linear, 48 Inch, 35 Watt, 4000K",93.1,80,#N/A
LSV4U3550,"MaxLite LSV Series Vapor Tight, Linear, 48 Inch, 35 Watt, 5000K",93.1,80,#N/A
LSV4U4540,"MaxLite LSV Series Vapor Tight, Linear, 48 Inch, 45 Watt, 4000K",102.41,87.5,#N/A
LSV4U4550,"MaxLite LSV Series Vapor Tight, Linear, 48 Inch, 45 Watt, 5000K",102.41,87.5,#N/A
ML1E242DARBK27,MaxLite Bulb in Box- Architectural Torchiere,32.5,,6
ML2E242TR,"MaxLite Flush Mount, Traditional, Includes 2 Bulbs",35.25,24.06,#N/A
ML2LA17MAWHP927,"MaxLite Flush Mount, Architectural, White Finish, Plastic Diffuser, 17 Watt",28.75,,#N/A
ML2LA23LCBNIP927,"MaxLite Flush Mount, Contemporary, Brushed Nickel, Acrylic, 23 Watt",37.5,,#N/A
ML2LA23LCWHP927,"MaxLite Flush Mount, Contemporary, White Finish Acrylic, 23 Watt",37.5,,#N/A
ML2LA23LTNBNI927,"MaxLite Flush Mount, Transitional, Brushed Nickel, 23 Watt",32.5,,#N/A
ML2LA23LTRBNI827,"MaxLite Flush Mount, Traditional, Brushed Nickel, 23 Watt",32.5,,#N/A
ML2LA23LTRORB827,"MaxLite Flush Mount, Traditional, ORB Finish, 23 Watt, CRI >80",35,,#N/A
ML2LA23LTRORB927,"MaxLite Flush Mount, Traditional, ORB Finish, 23 Watt, CRI >90",35,,#N/A
ML2LA23LTRWH827,"MaxLite Flush Mount, Traditional, White Finish, 23 Watt, CRI > 80",31.25,,#N/A
ML2LA23LTRWH927,"MaxLite Flush Mount, Traditional, White Finish, 23 Watt, CRI > 90",35,,#N/A
ML3LA23MALBNI927,"MaxLite Semi-Flush Mount, Alabaster Series, Brushed Nickel, 23 Watt, High CRI",30.63,,#N/A
ML4LASMSB14827,"MaxLite LED Mission Lantern, 14 Watt",35.25,29.38,#N/A
ML4LE171RLBK27MSC-V2,"MaxLite Lantern with Motion Sensor, Includes Bulb",28.75,,#N/A
ML4LS10SOLW,"MaxLite LED Small Lantern, 10 Watt",17.5,,#N/A
ML4LS12SRLBK827,"MaxLite LED Ranch Lantern, 12 Watt",29.93,26.25,#N/A
ML8E303TU-27-V2,MaxLite Bulb in Box- Tulip Vanity Bar,54.53,46.88,#N/A
ML8LARBN30830,"MaxLite LED Vanity Bar, Architectual Brushed Nickel, 30 Watt",49.88,42.5,#N/A
ML9E101CCBZ27-V2,"MaxLite Wall Sconce, Bronze, Includes Bulb",20.95,17.81,#N/A
ML9E101CCNI27-V2,"MaxLite Wall Sconce, Nickel, Includes Bulb",20.95,17.81,#N/A
ML9E101CCWH27-V2,"MaxLite Wall Sconce, White, Includes Bulb",20.95,12.5,#N/A
ML9LA17LCNBNI927,"MaxLite Wall Sconce, 17 Watt, Brushed Nickel",49.21,43.13,#N/A
ML9LA23LCNBNI927,"MaxLite Wall Sconce, 23 Watt",65.17,57.5,#N/A
ML9LAFBN09827,"MaxLite LED Wall Sconce, Architectual Brushed Nickel, 10 Watt",31.92,28.13,#N/A
ML9LARBN23830,"MaxLite LED Wall Sconce, Architectual Brushed Nickel, 23 Watt",41.23,35,#N/A
MLFP14DI3640ICL,"MaxLite Pendant Panel, Direct/Indirect Light, 1x4 Foot, 36 Watt, Dimmable",127.68,106.25,#N/A
MLFP14EP3035,"MaxLite Flat Panel, Edge Lit, 1x4 Foot, 30 Watt, Dimmable, 3500K",58.52,50,#N/A
MLFP14EP3041,"MaxLite Flat Panel, Edge Lit, 1x4 Foot, 30 Watt, Dimmable, 4100K",58.52,50,#N/A
MLFP14EP3050,"MaxLite Flat Panel, Edge Lit, 1x4 Foot, 30 Watt, Dimmable, 5000K",58.52,50,#N/A
MLFP14EP3541,"MaxLite Flat Panel, Edge Lit, 1x4 Foot, 35 Watt, Dimmable",63.84,55,#N/A
MLFP22EP3035,"MaxLite Flat Panel, Edge Lit, 2x2 Foot, 30 Watt, Dimmable, 3500K",41.23,36.88,#N/A
MLFP22EP3041,"MaxLite Flat Panel, Edge Lit, 2x2 Foot, 30 Watt, Dimmable, 4100K",41.23,36.88,#N/A
MLFP22EP3050,"MaxLite Flat Panel, Edge Lit, 2x2 Foot, 30 Watt, Dimmable, 5000K",52.54,42.5,#N/A
MLFP24EP4035,"MaxLite Flat Panel, Edge Lit, 2x4 Foot, 40 Watt, Dimmable, 3500K",65.84,58.75,#N/A
MLFP24EP4041,"MaxLite Flat Panel, Edge Lit, 2x4 Foot, 40 Watt, Dimmable, 4100K",65.84,58.75,#N/A
MLFP24EP4050,"MaxLite Flat Panel, Edge Lit, 2x4 Foot, 40 Watt, Dimmable, 5000K",65.84,58.75,#N/A
MLFP24EP4835-V2,"MaxLite Flat Panel, Edge Lit, 2x4 Foot, 48 Watt, Dimmable, 3500K",98.42,82.5,#N/A
MLFP24EP4841-V2,"MaxLite Flat Panel, Edge Lit, 2x4 Foot, 48 Watt, Dimmable, 4100K",98.42,82.5,#N/A
MLFP24EP4850-V2,"MaxLite Flat Panel, Edge Lit, 2x4 Foot, 48 Watt, Dimmable, 5000K",98.42,82.5,#N/A
MLIT22D2535,"MaxLite Recessed Indirect Troffer, 2x2 Foot, 25 Watt, Dimmable, 3500K",127.68,107.5,#N/A
MLIT22D2540,"MaxLite Recessed Indirect Troffer, 2x2 Foot, 25 Watt, Dimmable, 4000K",127.68,107.5,#N/A
MLIT24D3235,"MaxLite Recessed Indirect Troffer, 2x4 Foot, 32 Watt, Dimmable, 3500K",176.89,148.75,#N/A
MLIT24D3240,"MaxLite Recessed Indirect Troffer, 2x4 Foot, 32 Watt, Dimmable, 4000K",176.89,148.75,#N/A
MLLBA,MaxLite Plug-and-Play Light Bar Accessories,0,,#N/A
MLRP24E4035D,"MaxLite Round 24 Inch, Direct Light Surface Mount, 40 Watt, Dimmable, 3500K",113.05,93.75,#N/A
MLRP24E4035I,"MaxLite Round 24 Inch, Indirect/Direct Light Suspension Mount, 40 Watt, Dimmable",127.68,106.25,#N/A
